Date,Player,Position,Throws,Bats,Type,Former Team,GPs PS,GPs CS,Bat Avg. PS,Bat Avg. CS,Homers PS,Homers CS,RBI PS,RBI CS,OBP PS,OBP CS,ERA PS,ERA CS,WHIP PS,WHIP CS,Ks PS,Ks CS
12/13/1999,Brandon Knight,Relief Pitcher,Right,Left,Trade,Rangers,DNP,,,,,,,,,,,,,,,
12/13/1999,Sam Marsonek,Relief Pitcher,Right,Right,Trade,Rangers,DNP,,,,,,,,,,,,,,,
12/15/1999,Ryan Thompson,Outfielder,Right,Right,Free Agent,Astros,12,33,.200,.260,1,3,5,14,0.273,0.339,N/A,N/A,N/A,N/A,N/A,N/A
12/22/1999,Jake Westbrook,Relief Pitcher,Right,Right,Trade,Expos,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.5,N/A,2.85,N/A,1
1/26/2000,Roberto Kelly,Outfielder,Right,Right,Free Agent,Rangers,87,10,0.3,0.12,8,1,37,1,0.355,0.185,N/A,N/A,N/A,N/A,N/A,N/A
2/1/2000,Tim Raines,Leftfielder,Right,Switch,Free Agent,Athletics,58,DNP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/17/2000,Ted Lilly,Starting Pitcher,Left,Left,Trade ,Expos,9,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.61,5.63,1.648,1.625,28,11
3/22/2000,Christian Parker,Starting Pitcher,Right,Right,Trade,Expos,DNP,,,,,,,,,,,,,,,
4/2/2000,Lance Johnson,Centerfielder,Left,Left,Free Agent,Cubs,95,18,0.26,0.3,1,0,21,2,0.332,0.3,N/A,N/A,N/A,N/A,N/A,N/A
4/2/2000,Felix Jose,Rightfielder,Right,Switch,Free Agent,Korea,DNP,20,N/A,0.241,N/A,1,N/A,5,N/A,0.281,N/A,N/A,N/A,N/A,N/A,N/A
4/2/2000,Ryan Thompson,Outfielder,Right,Right,Released,Astros,12,33,.200,.260,1,3,5,14,0.273,0.339,N/A,N/A,N/A,N/A,N/A,N/A
5/1/2000,Ryan Thompson,Outfielder,Right,Right,Free Agent,Astros,12,33,.200,.260,1,3,5,14,0.273,0.339,N/A,N/A,N/A,N/A,N/A,N/A
5/14/2000,Randall Simon,First Baseman,Left,Left,Free Agent,Braves,DNP,,,,,,,,,,,,,,,
6/11/2000,Dwight Gooden,Starting Pitcher,Right,Right,Free Agent,Rays,8,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.63,3.36,1.827,1.352,23,31
6/20/2000,Jose Vizcaino,Infield,Right,Switch,Trade,Dodgers,40,73,0.204,0.276,0,0,1,5,0.288,0.319,N/A,N/A,N/A,N/A,N/A,N/A
6/29/2000,David Justice,Rightfielder,Left,Left,Trade,Indians,68,78,0.265,0.305,21,20,58,60,0.361,0.391,N/A,N/A,N/A,N/A,N/A,N/A
7/12/2000,Denny Neagle,Starting Pitcher,Left,Left,Trade,Reds,18,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.52,5.81,1.368,1.423,88,58
7/12/2000,Mike Frank,Centerfielder,Left,Left,Trade,Reds,DNP,,,,,,,,,,,,,,,
7/21/2000,Glenallen Hill,Outfielder,Right,Right,Trade,Cubs,64,40,0.262,0.333,11,16,29,29,0.303,0.378,N/A,N/A,N/A,N/A,N/A,N/A
8/3/2000,Luis Polonia,Leftfielder,Left,Left,Free Agent,Tigers,80,37,0.273,0.286,6,1,25,5,0.325,0.341,N/A,N/A,N/A,N/A,N/A,N/A
8/7/2000,Jose Canseco,Outfielder,Right,Right,Waivers,Rays,61,37,0.257,0.243,9,6,30,19,0.383,0.365,N/A,N/A,N/A,N/A,N/A,N/A
8/7/2000,Luis Sojo,Infielder,Right,Right,Trade,Pirates,61,34,0.284,0.288,5,2,20,17,0.328,0.321,N/A,N/A,N/A,N/A,N/A,N/A
